bnum,badd,bloc,bsize,ecuso,equal,einvol,etra,ecomm,eteam,eeng,eitl,eben,cserq,cbrtel,cbr,cbrpb,cloy,ccon,teltr,prod
1,Anoka (E),1,38,3.52,3.47,3.21,3.24,3.18,3.37,3.12,2.57,3.58,3.26,4.29,4.15,4.13,3.76,1,3946,412
2,Anoka (W),1,15,3.75,3.58,3.39,3.02,3.11,3.44,3.36,2.93,3.79,3.43,4.48,4.54,4.34,3.84,1,4041,317
3,Apple Valley,1,19,3.63,3.63,3.44,3.28,3.23,3.49,3.29,2.42,3.42,3.45,3.91,4.18,3.93,3.81,1,3510,232
4,Blaine,1,12,3.83,3.58,3.32,3.26,3.61,3.25,3.48,2.58,3.92,3.29,4.13,3.96,4.06,3.73,0,4184,323
5,Bloomington,1,27,3.22,3.16,3.19,3.08,2.85,2.91,2.68,3.3,3.52,3.67,4.13,4.15,4.09,3.98,1,3484,242
6,Brooklyn,1,28,3.7,3.6,3.36,3.09,3.24,3.68,3.03,2.07,4.04,3.59,4.06,4,3.92,4.05,0,4406,351
7,Burnsville,1,31,3.88,3.72,3.42,3.42,3.39,3.66,3.39,2.32,3.77,3.15,4.14,4.33,4.11,3.61,0,4642,324
8,Columbia hts.,1,36,3.47,3.45,3.28,3.26,3.29,3.31,3.13,2.61,3.86,3.28,4.21,4.2,4.06,3.72,0,4344,391
9,Cottage groove,1,51,3.8,3.54,3.39,3.13,3.08,3.46,3.16,2.51,3.8,3.4,4.1,3.98,3.96,3.76,0,4060,342
10,Hopkins,1,23,3.95,3.7,3.38,3.22,3.14,3.59,3.27,2.17,4,3.18,4.18,4.24,4.09,3.61,0,4399,314
11,Minneapolis,1,34,4.29,4.04,3.94,3.48,3.66,3.87,3.89,2.15,3.61,3.46,4.3,4.33,4.09,3.77,1,4056,309
12,Minneapolis (NE),1,12,3.39,3.42,3.53,3.17,3.36,3.72,3.21,1.75,3.67,3.29,4.3,4.08,4.05,3.84,0,4186,305
13,Minnetonka,1,24,3.84,3.81,3.8,3.35,3.47,3.51,3.45,2.13,4.08,3.26,4.11,3.87,3.87,3.63,0,4051,311
14,Little Canada,1,19,3.43,3.38,2.98,3.01,3.16,3.39,2.78,2.58,3.68,3.19,4.05,4.23,4.06,3.6,0,4413,287
15,Oakdale,1,16,3.75,3.63,3.68,3.22,3.73,3.82,3.37,2.25,3.88,3.36,4.38,4.22,4.27,3.78,0,4502,294
16,Plymouth,1,9,4.19,3.56,3.65,3.34,3.26,3.63,3.58,1.44,3.56,3.18,4.2,4.24,4.15,3.78,0,3839,346
17,Robbinsdale,1,10,3.33,3.55,3.41,3.53,3.9,3.93,2.95,1.9,3,3.07,4.06,3.9,4.01,3.54,0,4588,363
18,St. Louis Park,1,12,3.31,3.38,3.25,3.17,3.33,3.4,3.33,2.08,3.83,3.26,4.07,4.16,4.03,3.7,0,4506,296
19,St. Paul (E),1,16,4.28,3.84,3.76,3.19,3.19,3.77,3.59,2.31,3.73,3.37,4.47,4.17,4.24,3.85,0,3611,313
20,St. Cloud,1,13,3.4,3.33,3.1,3.03,3.31,3.18,3,2.23,3.46,3.24,4.12,3.8,3.95,3.63,0,4286,372
21,Willmar,1,10,4.25,4.15,3.93,3.65,3.47,3.97,4,1.9,3.8,3.63,4.27,4.21,4.18,3.92,1,4288,346
22,Eagan,0,29,3.41,3.34,3.2,2.88,2.62,3.16,3.16,2.97,3.97,3.42,4.3,3.99,4.11,3.72,0,3150,247
23,Cloquet,1,11,3.98,4.27,3.84,3.77,3.76,3.67,3.58,2.73,4.27,3.51,4.14,3.9,4.02,3.97,1,3633,246
24,Rochester (E),1,22,3.76,3.73,3.49,3.24,3.21,3.31,3.44,3.05,3.33,3.47,4.33,3.95,4.09,3.9,1,4021,317
25,Eden Prairie,0,8,4.09,4.03,3.52,3.25,3.33,3.92,3.5,2.13,3.86,3.67,4.4,4,4.3,4.07,1,3777,271
26,Edina,0,9,4.06,4,3.98,3.44,3.67,3.67,3.58,2.22,3.67,3.21,4.14,4.26,4.12,3.65,0,4897,254
27,Brookfield,1,20,3.33,3.61,3.5,3.12,3.15,3.38,3.44,2.2,3.63,3.29,4.25,4.11,4.19,3.71,0,3961,226
28,Wayzata,1,12,3.85,3.94,3.54,3.71,3.81,3.75,3.27,2.58,3.45,3.35,4.18,4.3,3.97,3.85,1,4434,271
29,Arvada (N),1,55,3.72,3.67,3.44,3.38,3.39,3.59,3.25,2.44,3.46,3.27,4.15,4.07,4.02,3.77,0,3621,352
30,Aurora,1,25,3.8,3.71,3.81,3.59,3.45,3.63,3.69,2.32,3.76,3.26,4.18,4.22,4.09,3.63,0,4830,343
31,Colarado Springs,1,20,3.96,4.06,3.72,3.5,3.67,3.94,3.44,2.1,4.25,3.39,4.35,4.21,4.13,3.75,0,4327,338
32,Denver (S),1,17,3.82,3.57,3.29,3.51,3.41,3.69,3.1,2.24,3.71,3.31,4.13,4.28,4.23,3.79,0,4193,404
33,Englewood,1,23,3.03,2.71,2.85,2.51,2.18,2.76,2.5,3.65,3.52,3.17,4.1,3.91,4.05,3.51,0,4072,224
34,Fort Collins,1,26,3.52,3.36,3.12,3.21,2.96,3.22,3.21,2.73,3.42,3.73,4.2,3.91,4.1,3.98,1,4452,320
35,Broomfield,0,20,3.78,3.63,3.5,3.11,3.22,3.4,3.19,2.45,4.15,3.35,4.47,4.5,4.41,3.79,1,4369,291
36,Grand Junction,1,21,3.49,3.37,3.16,2.95,2.94,3.14,3.06,2.81,3.76,3.22,4.17,3.99,4.03,3.75,1,4702,364
37,Littleton,1,25,3.71,3.41,3.42,3.28,3.06,3.57,3.14,2.33,3.87,3.23,4.11,4.04,4.02,3.67,0,3822,262
38,Lakewood,0,31,3.81,3.65,3.42,2.91,3.05,3.48,3.05,2.74,3.16,3.36,4.24,4.06,4.1,3.86,0,2726,249
39,Longmont,1,16,3.73,3.69,3.3,3.24,3,3.58,3.27,3.06,3.33,3.66,4.43,4.04,4.15,4.04,1,3480,282
40,Northglenn,1,18,3.88,4,3.76,3.44,3.86,3.82,3.65,2,3.88,3.16,4.33,4.35,4.19,3.6,0,4256,283
41,Pueblo (NE),1,20,3.61,3.54,3.4,3.18,3.35,3.75,3.1,2.85,3.8,3.27,4.1,4.08,4.03,3.82,1,3764,277
42,Westminister,1,10,4.48,4.05,3.83,3.62,3.44,4.02,3.99,2.1,3.9,3.35,4.53,4.34,4.32,3.81,1,5637,327
43,Altoona,0,10,3.65,3.57,3.54,3.48,3.21,3.44,2.85,3.1,4,3.22,4.33,4.25,4.28,3.66,0,3720,253
44,Des Moines,1,15,3.48,3.37,3.28,2.98,2.89,3.76,2.95,2.47,3.07,3.16,4.2,3.95,4.04,3.59,0,4307,296
45,Red Oak,0,32,3.79,3.8,3.43,3.14,3.33,3.61,3.13,2.5,3.88,3.27,4.38,4.32,4.24,3.79,0,5110,335
46,Iowa Falls,1,8,4.25,3.91,3.64,3.67,3.63,3.66,3.25,2.25,3.38,3.19,4.49,4.18,4.26,3.58,1,3830,296
47,Bellevue,1,8,3.84,3.81,3.61,3.21,3.21,3.42,3.34,2.57,4,3.3,4.34,4.33,4.19,3.84,1,4486,279
48,Columbus,1,19,4.43,4.08,3.98,3.34,3.38,3.91,3.64,2.21,4.12,3.46,4.4,4.26,4.27,3.85,1,4253,300
49,Hastings,1,9,4.31,3.94,3.9,3.54,3.7,4,3.81,2.11,3.75,3.24,4.23,4.18,4.12,3.84,0,5081,251
50,Lincoln (E),1,12,3.69,3.38,3.26,3.04,3.08,3.5,2.94,3,3.58,3.01,4.11,4.07,3.88,3.54,1,4373,341
51,Beatrice,0,19,3.62,3.75,3.35,3.31,3.09,3.67,3.26,2.42,3.58,3.26,4.2,4.26,4.12,3.68,1,4292,254
52,North Platte,0,10,3.16,3.39,2.86,3.1,2.87,2.6,2.93,3.3,3.9,3.17,4.22,4.03,4,3.64,1,4380,202
53,Lincoln (SE),1,12,3.98,3.67,3.49,3.44,2.83,3.69,3.21,2.58,3.91,3.24,3.99,3.74,3.94,3.69,0,5202,324
54,Omaha,1,17,3.52,3.48,3.33,3.1,3,3.39,3,1.71,3.31,3.52,4.05,3.94,4.02,4.1,0,4821,337
55,Kearney,0,7,4,3.86,3.78,3.64,3.33,4.05,3.68,1.71,3.86,3.54,4.34,4.11,3.92,4.05,1,3755,254
56,Omaha (SW),1,22,3.89,3.69,3.61,3.26,3.08,3.59,3.46,2.14,3.88,3.17,4.03,3.84,3.92,3.66,0,3656,298
